uid,easy_attempts,easy_correct,easy_hints,hard_attempts,hard_correct,hard_hints,medium_attempts,medium_correct,medium_hints,q1,q2,q3,q4,q5,gender,age,survey_schema_version,survey_submitted_at
0EzzPksxCzOzFA51SozZWvnJc942,0,0,0,11,0,16,1,1,0,,,,,,,,,
17lvkLxlsEYe2vd5iUpbJhkExhl2,4,4,0,6,1,0,5,2,0,,,,,,,,,
1iAekRQGm5gjfGm3Y2hjs1hodV53,47,8,5,0,0,0,34,8,2,,,,,,,,,
26cqbWhewxfcfkNqF8nmpwi0zBn2,4,4,0,0,0,0,7,6,0,,,,,,,,,
2FxgqOY3tScYf7A7pwbccgV621t1,0,0,0,0,0,0,1,1,0,,,,,,,,,
2q72sh06LFMs2HVY1SdbZ3iaMje2,23,5,2,0,0,0,3,1,1,,,,,,,,,
3FqzsSP20sZCQfyCAKPAwckcr0H2,2,2,0,1,1,0,2,0,1,,,,,,,,,
3MQAqGcpc6dl4BTBNmFqwzax2O52,0,0,0,18,0,0,0,0,0,,,,,,,,,
3UUX1ZVsZOY3EpxJXoHGLoexKjD3,0,0,0,42,0,4,0,0,0,,,,,,,,,
3UXv8fF27eNAEAZmd5SHzZehKIj2,8,6,0,7,0,0,9,6,1,,,,,,,,,
4BWKawPNKAfbwUM4Jzg397bhsL02,3,2,0,2,0,0,4,3,0,,,,,,,,,
4RIDQyTEw1Rcp1pdGEUyMD4buLx2,0,0,0,0,0,0,2,0,0,,,,,,,,,
5PO6tA8Ee0SFpcrDnRpvV9xLZYz1,1,1,0,1,1,3,3,2,0,,,,,,,,,
6MuIEIxYNUM6ioVY2Nxc8voG5Q92,0,0,0,0,0,0,6,0,1,,,,,,,,,
6lYN7KIPO9W7SAKvn6LxQ4H29dG2,2,2,0,1,0,0,2,2,0,,,,,,,,,
7110zRgzclfA9ePbXDF3nVV6qRp1,3,2,0,0,0,0,2,1,1,,,,,,,,,
7SILZCelVkdd0vvTynL59vp8y0Z2,4,3,0,1,1,0,7,6,0,,,,,,,,,
83P7oRd4Dkb6Dvw5to6v5ThEKxh1,5,4,0,0,0,0,6,0,0,,,,,,,,,
86G8QBLBn7gSqouRmjVSm9voXAA3,1,1,0,0,0,0,0,0,2,,,,,,,,,
89ffK7Wo9PNEaN168MxdOzCSKfG3,5,5,0,9,1,0,6,6,0,,,,,,,,,
8Rum7TPcaxajBWxTG0fMS50Y8yo2,1,1,0,0,0,0,0,0,0,,,,,,,,,
9AlTES3dtiUWHCeVKhlZOrvgki32,16,6,1,0,0,0,0,0,0,,,,,,,,,
9CRdjv9LPxQp3xulRAPstVW19Dz1,1,1,0,0,0,0,2,0,0,,,,,,,,,
9OF6vk5JJPaEN5vp89UjcdHoxUy1,6,5,0,0,0,0,0,0,0,,,,,,,,,
9iBUG01c8ZflbsO57TqTlEzyotq1,1,1,0,0,0,0,1,1,0,,,,,,,,,
9una4HgI1lP6WLlmYl1PVy7Z04k1,2,2,0,1,1,2,2,2,5,,,,,,,,,
9ylr9iDirHUhF81DZus3lIyCU3E3,0,0,0,3,1,1,1,1,0,,,,,,,,,
9ymm5YRhpTZcOTyyBDqjxZHMtRT2,4,4,0,0,0,0,33,3,10,,,,,,,,,
